Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value,contract_date
Bruno Fernandes,pt POR,"FW,AM",29-343,"Friday August 16, 2024",0,6,1.2,1.2,0.0,0.0,2,60,60,60,6,6,1,1,14,4,0.0,0.0,0.0,4,51,8,0,8,43,43,43,1,0,0,36,3,100.0,0,5,1,2,51,7,0,8,0,0.0,€50.00m,30.06.2027
Marcus Rashford,eng ENG,LW,26-290,"Friday August 16, 2024",0,0,0.0,0.0,0.7,0.7,1,30,30,30,2,2,0,0,2,1,0.7,0.7,0.1,2,30,0,0,1,22,22,22,0,1,0,26,4,0.0,5,1,2,1,37,9,1,1,1,100.0,€50.00m,30.06.2026
Amad Diallo,ci CIV,RW,22-036,"Friday August 16, 2024",0,0,0.0,0.0,0.1,0.1,1,33,33,33,1,1,1,1,6,1,0.1,0.1,0.1,1,28,4,0,2,28,28,28,1,0,0,22,3,100.0,0,4,2,2,26,7,0,2,0,0.0,-,30.06.2027
Amad Diallo,ci CIV,RW,22-036,"Friday August 16, 2024",-5,0,0.0,0.0,0.1,0.1,1,33,33,33,1,1,1,1,6,1,0.1,0.1,0.1,1,28,4,0,2,28,28,28,1,0,0,22,3,100.0,0,4,2,2,26,7,0,2,0,0.0,€1000.00m,30.06.2030
Alejandro Garnacho,ar ARG,RW,20-046,"Friday August 16, 2024",0,2,0.7,0.7,0.2,0.2,3,11,11,11,0,0,0,0,3,0,0.2,0.2,0.1,0,11,0,0,1,10,10,10,0,1,0,10,3,0.0,1,0,2,1,12,3,0,1,1,50.0,€45.00m,30.06.2028
Mason Mount,eng ENG,AM,25-219,"Friday August 16, 2024",0,1,0.3,0.3,0.1,0.1,3,15,15,15,1,1,0,0,1,0,0.1,0.1,0.0,1,15,0,0,0,11,11,11,0,0,0,13,5,0.0,2,0,1,3,18,3,1,0,1,100.0,€28.00m,30.06.2028
Joshua Zirkzee,nl NED,FW,23-086,"Friday August 16, 2024",1,1,0.1,0.1,0.0,0.0,1,9,9,9,1,1,0,0,1,0,0.0,0.0,0.0,1,9,0,0,0,8,8,8,0,0,0,4,1,,0,1,1,0,6,1,0,0,0,,€30.00m,30.06.2029
Kobbie Mainoo,eng ENG,DM,19-119,"Friday August 16, 2024",0,1,0.0,0.0,0.0,0.0,1,41,41,41,5,5,4,4,7,3,0.0,0.0,0.0,3,40,1,0,0,37,37,37,0,0,0,18,0,80.0,1,2,1,4,36,1,3,0,2,40.0,€50.00m,30.06.2027
Scott McTominay,sct SCO,DM,27-252,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,0,1,0.0,0.0,0.0,1,4,0,0,0,4,4,4,0,0,0,0,0,,0,0,0,0,2,0,0,0,1,100.0,€50.00m,30.06.2028
Casemiro,br BRA,DM,32-175,"Friday August 16, 2024",0,3,0.2,0.2,1.0,1.0,5,57,57,57,4,4,0,0,21,3,1.0,1.0,0.5,2,55,1,1,3,44,44,44,1,5,0,20,3,0.0,1,0,0,0,50,0,1,3,2,50.0,€10.00m,30.06.2026
Diogo Dalot,pt POR,"LB,RB",25-151,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,1,60,60,60,3,3,1,1,15,6,0.0,0.0,0.0,1,53,7,0,3,49,49,49,0,3,0,22,0,100.0,0,2,0,0,41,10,2,3,2,50.0,€30.00m,30.06.2028
Lisandro Martinez,ar ARG,"CB,LB",26-211,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,3,62,62,62,9,9,0,0,30,5,0.0,0.0,0.0,5,59,3,0,0,55,55,55,0,2,0,3,0,,0,2,0,0,52,0,1,0,0,0.0,€40.00m,30.06.2027
Harry Maguire,eng ENG,CB,31-164,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,2,60,60,60,8,8,1,1,26,4,0.0,0.0,0.0,5,55,5,0,0,50,50,50,0,6,0,1,0,50.0,1,1,0,0,42,0,2,0,5,83.3,€13.00m,30.06.2026
Jonny Evans,nir NIR,CB,36-226,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,6,6,6,0,0,0,0,3,0,0.0,0.0,0.0,0,5,1,0,0,4,4,4,0,1,0,0,0,,0,0,0,0,2,0,1,0,1,50.0,,
Noussair Mazraoui,ma MAR,RB,26-276,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,45,45,45,3,3,0,0,14,0,0.0,0.0,0.0,5,38,7,0,0,41,41,41,0,2,0,8,0,,0,0,0,0,32,2,0,0,3,75.0,€25.00m,30.06.2028
Matthijs de Ligt,nl NED,CB,25-004,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,2,0,0.0,0.0,0.0,0,2,0,0,0,2,2,2,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0.0,€38.00m,30.06.2029
Andre Onana,cm CMR,GK,28-136,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,1,29,29,29,0,0,0,0,13,4,0.0,0.0,0.0,0,28,1,0,0,22,22,22,0,1,0,0,0,,0,0,0,0,19,0,0,0,0,,€25.00m,30.06.2028
Rodrigo Muniz,br BRA,FW,23-104,"Friday August 16, 2024",0,2,0.1,0.1,0.1,0.1,2,6,6,6,1,1,1,1,2,1,0.1,0.1,0.0,0,6,0,0,0,5,5,5,0,1,0,6,4,100.0,0,0,3,3,14,3,0,0,4,40.0,€1.00m,30.06.2028
Rodrigo Muniz,br BRA,FW,23-104,"Friday August 16, 2024",0,2,0.1,0.1,0.1,0.1,2,6,6,6,1,1,1,1,2,1,0.1,0.1,0.0,0,6,0,0,0,5,5,5,0,1,0,6,4,100.0,0,0,3,3,14,3,0,0,4,40.0,€20.00m,30.06.2026
Raul Jimenez,mx MEX,FW,33-103,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,1,1,0.0,0.0,0.0,0,4,0,0,0,2,2,2,0,0,0,3,0,,0,1,1,0,3,1,0,0,1,33.3,€5.00m,30.06.2026
Alex Iwobi,ng NGA,LW,28-105,"Friday August 16, 2024",0,1,0.0,0.0,0.0,0.0,0,29,29,29,2,2,1,1,5,1,0.0,0.0,0.1,1,28,0,1,3,19,19,19,1,1,0,15,4,20.0,4,3,2,2,29,6,1,3,0,0.0,€28.00m,30.06.2028
Adama Traore,es ESP,RW,28-204,"Friday August 16, 2024",0,3,0.1,0.1,0.0,0.0,4,21,21,21,0,0,4,4,3,1,0.0,0.0,0.0,1,21,0,0,1,14,14,14,0,0,0,20,4,44.4,5,5,3,0,25,4,3,1,3,75.0,€9.00m,30.06.2026
Harry Wilson,wls WAL,RW,27-147,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,6,6,6,0,0,0,0,1,0,0.0,0.0,0.0,1,5,1,1,0,5,5,5,0,0,0,3,2,,0,0,2,0,6,2,0,0,1,100.0,€15.00m,30.06.2026
Emile Smith Rowe,eng ENG,AM,24-019,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,0,27,27,27,1,1,0,0,8,0,0.0,0.0,0.0,3,27,0,0,1,20,20,20,0,0,0,7,0,,0,1,1,0,25,2,0,1,1,100.0,€30.00m,30.06.2029
Tom Cairney,sct SCO,"DM,AM",33-209,"Friday August 16, 2024",0,0,0.0,0.0,0.0,0.0,1,17,17,17,4,4,2,2,10,0,0.0,0.0,0.1,1,17,0,0,1,15,15,15,0,0,0,7,2,66.7,1,1,0,0,16,1,1,1,0,0.0,€1.50m,30.06.2026
