Jugador,Nacionalidad,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,xAG,xAG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_intentados,Pases_progresivos,Pases_progresivos,Pases_progresivos,Pases_progresivos,Regates_exitosos,Regates_exitosos,Regates_exitosos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xAG,xAG,xAG,xAG,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,contract_date
Abdoulie Ceesay,gm GAM,FW,21-083,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,28,0,2,0,16,16,16,16,16,16,16,16,16,0,2,0,22,4,0.0,0,0,8,6,36,16,4,0,0,0.0,-
Adam Aznou,ma MAR,LB,18-244,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,34,34,34,34,34,34,34,34,2,2,2,2,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,2,28,4,0,2,26,26,26,26,26,26,26,26,26,2,2,0,22,0,0.0,0,4,0,0,28,4,0,2,0,0.0,30.06.2029
Adam Dzwigała,pl POL,CB,29-234,0,12,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,10,424,424,424,424,424,424,424,424,424,28,28,28,28,2,2,2,2,170,24,0.0,0.0,0.0,0.0,0.2,22,370,52,2,6,346,346,346,346,346,346,346,346,346,2,56,0,72,12,200.0,2,0,4,4,304,8,10,6,26,933.4,-
Adam Hlozek,cz CZE,FW,22-296,16,118,11.600000000000001,11.600000000000001,6.8,6.8,6.8,6.8,114,1016,1016,1016,1016,1016,1016,1016,1016,1016,136,136,136,136,66,66,66,66,252,46,6.8,6.8,6.8,6.8,6.0,74,986,24,2,40,696,696,696,696,696,696,696,696,696,6,40,0,734,228,2406.6,54,62,102,74,1104,204,30,40,80,2521.6,30.06.2029
Adrian Beck,de GER,AM,27-342,8,78,6.6000000000000005,6.6000000000000005,2.4,2.4,2.4,2.4,112,1450,1450,1450,1450,1450,1450,1450,1450,1450,138,138,138,138,80,80,80,80,466,110,2.4,2.4,2.4,2.4,3.2,106,1342,106,0,64,1162,1162,1162,1162,1162,1162,1162,1162,1162,2,34,0,592,106,2339.8,60,34,84,52,1168,166,32,64,58,2363.4,30.06.2028
Aleix Garcia,es ESP,"DM,CM",27-323,6,30,2.0,2.0,9.6,9.6,9.6,9.6,120,2780,2780,2780,2780,2780,2780,2780,2780,2780,240,240,240,240,8,8,8,8,848,258,9.6,9.6,9.6,9.6,7.8,270,2540,236,4,184,2424,2424,2424,2424,2424,2424,2424,2424,2424,4,48,2,904,22,600.0,2,68,20,10,2338,94,16,184,6,600.0,30.06.2029
Aleksandar Pavlovic,de GER,DM,21-014,2,18,1.4000000000000001,1.4000000000000001,0.2,0.2,0.2,0.2,60,3082,3082,3082,3082,3082,3082,3082,3082,3082,256,256,256,256,10,10,10,10,1094,152,0.2,0.2,0.2,0.2,3.6,338,3058,22,10,10,2874,2874,2874,2874,2874,2874,2874,2874,2874,2,28,0,726,22,800.0,0,86,26,4,2802,66,34,10,24,1250.0,30.06.2029
Alexander Meyer,de GER,GK,33-210,0,0,0.0,0.0,0.2,0.2,0.2,0.2,2,166,166,166,166,166,166,166,166,166,0,0,0,0,0,0,0,0,56,38,0.2,0.2,0.2,0.2,0.0,4,136,30,0,0,108,108,108,108,108,108,108,108,108,0,0,0,0,0,0.0,0,0,0,0,84,0,0,0,0,0.0,30.06.2026
Alexander Nubel,de GER,GK,28-229,0,0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,20,2622,2622,2622,2622,2622,2622,2622,2622,2622,0,0,0,0,2,2,2,2,950,546,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2,30,2194,416,0,0,2018,2018,2018,2018,2018,2018,2018,2018,2018,12,36,6,0,0,200.0,0,0,2,0,1610,0,0,0,8,800.0,30.06.2026
Alexander Prass,at AUT,WB,23-356,0,24,1.4,1.4,5.2,5.2,5.2,5.2,70,1938,1938,1938,1938,1938,1938,1938,1938,1938,126,126,126,126,40,40,40,40,604,104,5.2,5.2,5.2,5.2,5.4,86,1610,318,6,108,1408,1408,1408,1408,1408,1408,1408,1408,1408,10,106,8,650,64,1956.6,34,60,42,20,1378,132,34,108,30,1533.4,30.06.2028
