Jugador,Nacionalidad,Edad,market_value,contract_date,days_left_on_contract,last_seen,matches_played,GK,CB,RB,LB,WB,DM,CM,AM,LM,RM,LW,RW,FW,Goles,Tiros Totales,xG,npxG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_progresivos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,market_value_num,target_log,Edad_c,Edad_c2
Aaron Ciammaglichella,Italy,19.58082191780822,0.7,2026-06-30,303,2024-08-25,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7,0.5306282510621704,-6.613645732630463,43.74030987674114
Aaron Martin,Spain,28.087671232876712,6.5,2026-06-30,303,2025-05-24,36,0.0,0.0,0.0,0.587962962962963,0.3148148148148148,0.0,0.009259259259259259,0.0,0.023148148148148147,0.0,0.06481481481481481,0.0,0.0,0.0,0.4444444444444444,0.01666666666666667,0.01666666666666667,0.15000000000000002,2.638888888888889,46.80555555555556,2.5,0.3333333333333333,15.472222222222221,4.444444444444445,0.1611111111111111,2.138888888888889,34.05555555555556,12.61111111111111,0.0,7.111111111111111,33.916666666666664,0.1388888888888889,2.0277777777777777,0.027777777777777776,16.88888888888889,0.5555555555555556,42.15882352941177,0.3333333333333333,0.8611111111111112,0.6111111111111112,0.4722222222222222,28.86111111111111,3.0,1.0555555555555556,7.111111111111111,0.5555555555555556,37.20357142857143,6.5,2.0149030205422647,1.89320358243803,3.5842198045561906
Aaron Ramsdale,England,27.03013698630137,16.0,2026-06-30,303,2025-05-25,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,40.766666666666666,0.0,0.0,10.066666666666666,8.566666666666666,0.0,1.2,30.6,9.933333333333334,0.0,0.0,25.8,0.23333333333333334,0.3333333333333333,0.1,0.0,0.0,,0.0,0.0,0.1,0.0,23.4,0.0,0.03333333333333333,0.0,0.2,100.0,16.0,2.833213344056216,0.8356693358626863,0.6983432389011832
Aaron WanBissaka,England,27.493150684931507,24.0,2031-06-30,2129,2025-05-25,36,0.0,0.0,0.48148148148148145,0.2037037037037037,0.2685185185185185,0.0,0.0,0.0,0.0,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.0,0.05555555555555555,0.4444444444444444,0.025,0.025,0.09444444444444446,2.5833333333333335,50.416666666666664,4.138888888888889,1.7777777777777777,12.472222222222221,1.3333333333333333,0.0638888888888889,2.611111111111111,43.55555555555556,6.75,0.1388888888888889,2.111111111111111,40.888888888888886,0.1111111111111111,3.4722222222222223,0.0,17.694444444444443,1.3333333333333333,54.53333333333333,1.1944444444444444,1.8055555555555556,0.9722222222222222,0.6111111111111112,36.72222222222222,4.638888888888889,0.6944444444444444,2.111111111111111,0.6111111111111112,44.30416666666667,24.0,3.2188758248682006,1.298683034492825,1.6865776240794923
Abakar Sylla,Côte d'Ivoire,22.372602739726027,10.0,2028-06-30,1034,2025-05-10,21,0.0,0.8333333333333334,0.0,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.047619047619047616,0.23809523809523808,0.023809523809523808,0.023809523809523808,0.004761904761904762,0.19047619047619047,31.333333333333332,1.0,0.14285714285714285,15.80952380952381,1.0476190476190477,0.0,1.0,28.047619047619047,3.2857142857142856,0.0,0.047619047619047616,27.761904761904763,0.0,3.0,0.0,1.2380952380952381,0.42857142857142855,60.0,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.19047619047619047,23.666666666666668,0.14285714285714285,0.8095238095238095,0.047619047619047616,0.9523809523809523,61.10833333333333,10.0,2.3978952727983707,-3.821864910712655,14.606651395736652
Abdallah Sima,Senegal,23.915068493150685,9.0,2026-06-30,303,2025-05-17,27,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.037037037037037035,0.0,0.09259259259259259,0.0,0.5925925925925926,0.0,0.25925925925925924,0.25925925925925924,1.3703703703703705,0.2111111111111111,0.2111111111111111,0.03333333333333333,1.037037037037037,12.296296296296296,0.8888888888888888,0.2222222222222222,2.6666666666666665,0.2962962962962963,0.02962962962962963,0.48148148148148145,12.11111111111111,0.18518518518518517,0.0,0.5925925925925926,8.555555555555555,0.0,0.3333333333333333,0.0,9.481481481481481,2.4444444444444446,25.638461538461538,0.48148148148148145,0.5925925925925926,1.962962962962963,0.8148148148148148,14.0,3.4074074074074074,0.5925925925925926,0.5925925925925926,1.5185185185185186,54.76086956521739,9.0,2.302585092994046,-2.2793991572879975,5.195660518245233
Abde Ezzalzouli,Morocco,23.43013698630137,12.0,2029-06-30,1399,2025-05-23,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,0.890625,0.0,0.0,0.0625,1.90625,0.246875,0.22187500000000002,0.05625,2.0625,23.65625,2.125,1.4375,4.09375,0.34375,0.05625,1.3125,22.875,0.71875,0.0625,1.53125,16.9375,0.0625,0.59375,0.0,18.28125,4.71875,41.58387096774193,1.15625,2.34375,2.0,1.5625,24.90625,6.71875,0.71875,1.53125,0.8125,40.8,12.0,2.5649493574615367,-2.7643306641373115,7.64152402068983
Abdel Abqar,Morocco,26.09315068493151,7.5,2028-06-30,1034,2025-04-13,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.034482758620689655,0.034482758620689655,0.010344827586206898,0.8620689655172413,32.37931034482759,2.7241379310344827,0.10344827586206896,14.517241379310345,3.9310344827586206,0.006896551724137932,2.310344827586207,30.620689655172413,1.6551724137931034,0.034482758620689655,0.1724137931034483,24.79310344827586,0.10344827586206896,5.0344827586206895,0.034482758620689655,2.0,0.8620689655172413,75.0,0.034482758620689655,0.2413793103448276,0.6206896551724138,0.10344827586206896,22.413793103448278,0.13793103448275862,1.6206896551724137,0.1724137931034483,1.3793103448275863,54.54615384615385,7.5,2.1400661634962708,-0.1013169655071735,0.010265127499581786
Abderrahman Rebbach,Algeria,26.326027397260273,0.7,2028-06-30,1034,2024-12-08,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6875,0.0,0.0625,0.0,0.75,0.0125,0.0125,0.037500000000000006,1.25,14.75,0.625,0.375,3.0,1.0,0.05,0.25,13.5,1.25,0.0,2.125,9.25,0.0,0.75,0.0,10.625,2.25,23.814285714285713,1.125,0.75,1.125,0.625,13.375,4.25,0.625,2.125,0.125,5.55,0.7,0.5306282510621704,0.13155974682159055,0.017307966983761004
Abdon Prats,Spain,32.37260273972603,1.2,2028-06-30,1034,2025-04-22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.875,0.08333333333333333,0.5416666666666666,0.09166666666666667,0.0625,0.004166666666666667,0.2916666666666667,3.625,0.2916666666666667,0.041666666666666664,0.6666666666666666,0.16666666666666666,0.0,0.20833333333333334,3.4166666666666665,0.20833333333333334,0.0,0.0,2.4166666666666665,0.0,0.20833333333333334,0.0,2.2916666666666665,1.0416666666666667,25.0,0.08333333333333333,0.0,0.7083333333333334,0.5,4.333333333333333,0.5833333333333334,0.25,0.0,0.7916666666666666,40.5,1.2,0.7884573603642702,6.178135089287345,38.16935318148355
Abdou Harroui,Netherlands,26.923287671232877,1.8,2028-06-30,1034,2024-12-15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3333333333333333,0.2333333333333333,0.0,0.3333333333333333,0.0,0.0,0.1,1.5,0.22000000000000003,0.22000000000000003,0.05,1.5,20.2,2.1,0.6,5.4,0.6,0.06,1.6,19.7,0.4,0.1,0.9,16.0,0.1,0.5,0.0,10.5,1.7,30.942857142857143,1.3,2.0,1.2,1.0,20.3,3.4,1.0,0.9,0.8,50.0,1.8,1.0296194171811583,0.7288200207941955,0.5311786227104516
