Jugador,market_value,matches_played,Acciones_que_crean_tiros,Toques_en_area_rival,Pases_recibidos,Acarreos_ultimo_tercio,days_left_on_contract,xAG,Pases_progresivos,npxG,Regates_exitosos,Pases_al_hueco,Pases_progresivos_recibidos,Perdida_balon,Veces_que_fue_barrido_regate,Malos_controles,Pases_fuera_de_juego,Faltas_cometidas,Edad_c,Edad_c2,GK,CB,WB,LW,RW,FW,market_value_num,target_log,Nacionalidad
Aaron Ciammaglichella,0.7,1,0.0,0.0,0.0,0.0,303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.613645732630463,43.74030987674114,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5306282510621704,Italy
Aaron Martin,6.5,36,2.638888888888889,0.5555555555555556,28.86111111111111,0.8611111111111112,303,0.15000000000000002,2.5,0.01666666666666667,0.3333333333333333,0.0,3.0,0.4722222222222222,0.3333333333333333,0.6111111111111112,0.1388888888888889,1.0555555555555556,1.89320358243803,3.5842198045561906,0.0,0.0,0.3148148148148148,0.06481481481481481,0.0,0.0,6.5,2.0149030205422647,Spain
Aaron Ramsdale,16.0,30,0.1,0.0,23.4,0.0,303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.23333333333333334,0.03333333333333333,0.8356693358626863,0.6983432389011832,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.833213344056216,England
Aaron WanBissaka,24.0,36,2.5833333333333335,1.3333333333333333,36.72222222222222,1.8055555555555556,2129,0.09444444444444446,4.138888888888889,0.025,1.7777777777777777,0.1388888888888889,4.638888888888889,0.6111111111111112,1.1944444444444444,0.9722222222222222,0.1111111111111111,0.6944444444444444,1.298683034492825,1.6865776240794923,0.0,0.0,0.2685185185185185,0.009259259259259259,0.009259259259259259,0.0,24.0,3.2188758248682006,England
Abakar Sylla,10.0,21,0.19047619047619047,0.42857142857142855,23.666666666666668,0.047619047619047616,1034,0.004761904761904762,1.0,0.023809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.23809523809523808,0.0,0.8095238095238095,-3.821864910712655,14.606651395736652,0.0,0.8333333333333334,0.023809523809523808,0.0,0.0,0.0,10.0,2.3978952727983707,Côte d'Ivoire
Abdallah Sima,9.0,27,1.037037037037037,2.4444444444444446,14.0,0.5925925925925926,303,0.03333333333333333,0.8888888888888888,0.2111111111111111,0.2222222222222222,0.0,3.4074074074074074,0.8148148148148148,0.48148148148148145,1.962962962962963,0.0,0.5925925925925926,-2.2793991572879975,5.195660518245233,0.0,0.0,0.0,0.5925925925925926,0.0,0.25925925925925924,9.0,2.302585092994046,Senegal
Abde Ezzalzouli,12.0,32,2.0625,4.71875,24.90625,2.34375,1399,0.05625,2.125,0.22187500000000002,1.4375,0.0625,6.71875,1.5625,1.15625,2.0,0.0625,0.71875,-2.7643306641373115,7.64152402068983,0.0,0.0,0.0,0.890625,0.0,0.0,12.0,2.5649493574615367,Morocco
Abdel Abqar,7.5,29,0.8620689655172413,0.8620689655172413,22.413793103448278,0.2413793103448276,1034,0.010344827586206898,2.7241379310344827,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.6206896551724138,0.10344827586206896,1.6206896551724137,-0.1013169655071735,0.010265127499581786,0.0,1.0,0.0,0.0,0.0,0.0,7.5,2.1400661634962708,Morocco
Abderrahman Rebbach,0.7,8,1.25,2.25,13.375,0.75,1034,0.037500000000000006,0.625,0.0125,0.375,0.0,4.25,0.625,1.125,1.125,0.0,0.625,0.13155974682159055,0.017307966983761004,0.0,0.0,0.0,0.6875,0.0,0.0625,0.7,0.5306282510621704,Algeria
Abdon Prats,1.2,24,0.2916666666666667,1.0416666666666667,4.333333333333333,0.0,1034,0.004166666666666667,0.2916666666666667,0.0625,0.041666666666666664,0.0,0.5833333333333334,0.5,0.08333333333333333,0.7083333333333334,0.0,0.25,6.178135089287345,38.16935318148355,0.0,0.0,0.0,0.0,0.0,0.875,1.2,0.7884573603642702,Spain
